female,race,age,education,income,married,unemployed,homemaker,rellig,attend,pid7_r,pid2_r,ideology_c,followpol,campint,vote12,who12,who12_r,voteprim,whoprim,whoprim_r,whoprim_trump,intendvote,intendwho,intend_r,intend_trump,intendstrength,intendstrength_trump,vote16,who16,who16_r,who16_trump,prefercand,prefertrump,switch_trump,switch_trumpr,abstainer_r,abstainer_trump,new_r,switcher_r,demangry_rc,demhope,demafraid_rc,demproud,demdisgust_rc,demaffect,repangry_rc,rephope,repafraid_rc,repproud,repdisgust_rc,repaffect,femscale,femscale_rc,antifemscale,tradfamily,womenmedia,womenfavors,womenprob,womendisc,sexismremarks,sexismfail,sexismpower,sexismleash,sexism_hostile,sexism_hostile.rc,sexism,heardvideo,mattervideo,economy,worldpos,whitejobloss,whitegov1,whitegov2,whiteunfair,whitelaws,whiteid,americanid,immgoodecon_rc,immharmcult,immincreasecrime,negimm,rrfavors,rrslavery_rc,rrless_rc,rrtry,rrscale,muslimsviolent,auth1,auth2,auth3,auth4,auth,domspending,defensespending,fightisis,allowrefugees,raiseminwage,actclimate,aca,toopc,repwomen,repwomen.rc,demwomen
1,"White, nonHispanic",56,10,,1,0,0,1,2,5,1,4,2,3,1,,,1,John Kasich,0,0,1,Hillary Clinton,0,0,2,1,1,Hillary Clinton,0,0,0,0,0,,,,,,5,2,5,2,4,18,2,1,1,1,1,6,,,,6,6,4,4,14,,,,,,,,1,4,4,1,3,1,2,2,3,5,5,3,3,2,8,4,2,3,2,11,6,3,3,1,1,8,,,1,3,4,4,6,,1,7,6
1,"White, nonHispanic",65,14,15,0,0,0,3,5,5,1,6,3,3,1,Barack Obama,0,0,,,,1,,,,,,1,Donald Trump,1,1,0,0,,,,,,,2,2,3,2,2,11,4,3,3,3,2,15,2,4,2,4,3,4,3,10,4,3,,2,,,,1,3,2,2,2,0,0,0,3,3,4,3,2,3,8,4,3,4,4,15,4,3,3,1,1,8,4,,5,3,3,4,4,2,4,4,4
0,Other nonHispanic incl multiple races [WEB: blank 'Other' counted as a race],61,8,13,1,0,0,3,1,5,1,7,4,3,1,Mitt Romney,1,0,,,,1,Donald Trump,1,1,1,3,1,Donald Trump,1,1,1,1,,,0,,0,0,2,1,2,1,2,8,4,4,4,2,3,17,1,5,5,7,7,4,3,14,4,2,3,3,8,10,12,1,2,2,1,,0,0,0,,1,5,2,4,4,10,4,2,4,4,14,5,3,3,3,3,12,1,6,6,1,3,4,2,3,5,3,2
0,"Native American or Alaska Native, nonHispanic",34,7,9,0,0,0,1,1,5,1,4,4,2,0,,,0,,,,,,,,,,,,,,,,,,,1,,,2,1,1,2,1,7,5,4,5,4,5,23,1,5,1,4,2,2,5,9,5,4,3,3,10,8,15,1,1,1,2,,1,2,2,,,5,1,5,5,11,5,5,5,5,20,7,3,3,3,2,11,1,7,1,1,4,6,2,4,2,6,7
,"White, nonHispanic",68,13,,0,0,0,3,4,4,,2,2,3,0,,,0,,,,,,,,,,,,,,,,,,,0,,,2,2,2,2,2,10,2,2,3,2,2,11,1,5,1,4,4,4,4,12,5,2,3,2,7,11,12,1,4,3,1,2,0,0,0,5,4,4,2,3,3,8,5,5,4,4,18,4,3,3,1,1,8,5,2,7,2,4,1,1,,1,7,7
1,"White, nonHispanic",25,9,17,0,0,0,4,4,4,,4,2,2,0,,,0,,,,1,,,,,,1,,,,,,,,,,,,3,1,4,1,2,11,4,2,4,4,4,18,3,3,2,7,5,5,4,14,3,3,2,1,6,12,9,1,2,1,2,3,1,1,1,3,3,5,4,4,2,10,2,4,4,4,14,5,3,3,3,1,10,4,5,4,2,4,4,4,2,6,2,7
0,"White, nonHispanic",73,14,17,1,0,0,2,1,3,0,2,5,3,1,Barack Obama,0,1,Hillary Clinton,0,0,1,Hillary Clinton,0,0,1,2,1,Hillary Clinton,0,0,1,0,0,,,,,,5,5,5,4,5,24,2,1,1,1,1,6,5,1,1,4,7,5,5,17,2,1,1,1,3,15,5,1,5,4,3,2,1,3,3,1,3,4,5,1,1,7,1,1,1,1,4,6,2,1,1,1,5,6,2,3,7,4,7,7,1,1,7,7
1,"White, nonHispanic",67,9,22,1,0,0,4,5,4,,4,4,3,1,Mitt Romney,1,0,,,,,,,,,,1,,,,,,,,1,,,,2,1,2,1,2,8,2,2,3,2,3,12,3,3,2,4,6,4,1,11,4,4,4,1,9,9,13,1,3,1,1,3,0,0,0,4,1,5,3,4,4,11,5,4,4,4,17,3,3,2,2,2,9,3,4,7,2,2,4,4,3,4,4,4
1,"White, nonHispanic",35,14,22,1,0,0,1,2,2,0,2,3,3,1,Barack Obama,0,0,,,,1,,,,,,0,,,,,,,,,0,,,2,1,4,1,2,10,3,4,2,2,2,13,2,4,1,4,6,4,4,14,3,1,2,1,4,14,7,1,1,4,2,4,0,0,0,3,3,4,4,1,1,6,4,2,4,2,12,2,3,1,1,1,6,5,4,4,4,3,6,7,4,2,6,2
0,"White, nonHispanic",64,13,24,1,0,0,4,5,7,1,6,5,3,1,Mitt Romney,1,0,,,,1,Donald Trump,1,1,1,3,,,,,,,,,1,,,,1,1,1,1,1,5,4,5,5,4,4,22,1,5,5,,,,,,4,3,4,2,9,9,13,,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,6,7,1,,1,1,4,,,
